location,age_group,date,value,source,week
DE,00+,2022-01-02,6,NRZ,52
DE,00+,2022-01-09,5,NRZ,01
DE,00+,2022-01-16,2,NRZ,02
DE,00+,2022-01-23,3,NRZ,03
DE,00+,2022-01-30,4,NRZ,04
DE,00+,2022-02-06,6,NRZ,05
DE,00+,2022-02-13,1,NRZ,06
DE,00+,2022-02-20,1,NRZ,07
DE,00+,2022-02-27,4,NRZ,08
DE,00+,2022-03-06,1,NRZ,09
DE,00+,2022-03-13,2,NRZ,10
DE,00+,2022-03-20,1,NRZ,11
DE,00+,2022-03-27,3,NRZ,12
DE,00+,2022-04-03,0,NRZ,13
DE,00+,2022-04-10,0,NRZ,14
DE,00+,2022-04-17,0,NRZ,15
DE,00+,2022-04-24,0,NRZ,16
DE,00+,2022-05-01,0,NRZ,17
DE,00+,2022-05-08,2,NRZ,18
DE,00+,2022-05-15,0,NRZ,19
DE,00+,2022-05-22,0,NRZ,20
DE,00+,2022-05-29,0,NRZ,21
DE,00+,2022-06-05,0,NRZ,22
DE,00+,2022-06-12,0,NRZ,23
DE,00+,2022-06-19,0,NRZ,24
DE,00+,2022-06-26,0,NRZ,25
DE,00+,2022-07-03,0,NRZ,26
DE,00+,2022-07-10,0,NRZ,27
DE,00+,2022-07-17,2,NRZ,28
DE,00+,2022-07-24,0,NRZ,29
DE,00+,2022-07-31,3,NRZ,30
DE,00+,2022-08-07,0,NRZ,31
DE,00+,2022-08-14,0,NRZ,32
DE,00+,2022-08-21,0,NRZ,33
DE,00+,2022-08-28,1,NRZ,34
DE,00+,2022-09-04,0,NRZ,35
DE,00+,2022-09-11,0,NRZ,36
