"stratum","value","week","year","date"
"A15..34",25.1942913663982,45,2018,2018-11-11
"A15..34",21.181291507701,46,2018,2018-11-18
"A15..34",13.1694220714992,47,2018,2018-11-25
"A15..34",25.1942913663982,48,2018,2018-12-02
"A15..34",24.1769111205313,49,2018,2018-12-09
"A15..34",17.1824219301964,50,2018,2018-12-16
"A15..34",27.158400452169,51,2018,2018-12-23
"A15..34",27.158400452169,52,2018,2018-12-30
"A15..34",24.1769111205313,1,2019,2019-01-06
"A15..34",30.1540200649993,2,2019,2019-01-13
"A15..34",20.1639112618341,3,2019,2019-01-20
"A15..34",20.1639112618341,4,2019,2019-01-27
"A15..34",34.1528896425039,5,2019,2019-02-03
"A15..34",39.1691394658754,6,2019,2019-02-10
"A15..34",44.1995195704395,7,2019,2019-02-17
"A15..34",46.1636286562103,8,2019,2019-02-24
"A15..34",29.1931609439028,9,2019,2019-03-03
"A15..34",46.1636286562103,10,2019,2019-03-10
"A15..34",33.1920305214074,11,2019,2019-03-17
"A15..34",28.1757806980359,12,2019,2019-03-24
"A15..34",23.1595308746644,13,2019,2019-03-31
"A15..34",21.181291507701,14,2019,2019-04-07
"A15..34",21.181291507701,15,2019,2019-04-14
"A15..34",20.1639112618341,16,2019,2019-04-21
"A15..34",20.1639112618341,17,2019,2019-04-28
"A15..34",15.204182563233,18,2019,2019-05-05
"A15..34",11.2053129857284,19,2019,2019-05-12
"A15..34",14.1868023173661,20,2019,2019-05-19
"A15..34",26.2116716122651,21,2019,2019-05-26
"A15..34",16.1650416843295,22,2019,2019-06-02
"A15..34",18.1998021760633,23,2019,2019-06-09
"A15..34",23.1595308746644,24,2019,2019-06-16
"A15..34",10.1879327398615,25,2019,2019-06-23
"A15..34",14.1868023173661,26,2019,2019-06-30
"A15..34",18.1998021760633,27,2019,2019-07-07
"A15..34",13.1694220714992,28,2019,2019-07-14
"A15..34",14.1868023173661,29,2019,2019-07-21
"A15..34",18.1998021760633,30,2019,2019-07-28
"A15..34",16.1650416843295,31,2019,2019-08-04
